Gene_Name,mean_RNA_G1,mean_RNA_S,mean_RNA_G2,mean_protein_G1,mean_protein_S,mean_protein_G2,GOBP,GOMF,GOCC
ATG2A,9.006203667,9.022302,9.129524,18.21476667,14.89898,20.23678,,binding;protein binding,
RBM47,10.33010667,10.39642333,10.67725667,24.74802,22.42677667,24.6512,base conversion or substitution editing;biological regulation;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cytidine to uridine editing;macromolecule metabolic process;macromolecule modification;metabolic process;mRNA metabolic process;mRNA modification;mRNA processing;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;posttranscriptional regulation of gene expression;primary metabolic process;protein stabilization;regulation of biological process;regulation of biological quality;regulation of gene expression;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of protein stability;RNA metabolic process;RNA modification;RNA processing,binding;nucleic acid binding;nucleotide binding;protein binding;RNA binding;single-stranded RNA binding,apolipoprotein B mRNA editing enzyme complex;cell part;cytoplasm;cytoplasmic part;endoplasmic reticulum;intracellular;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane-bounded organelle;nuclear part;nucleoplasm;nucleus;organelle;organelle part;protein complex
ADAM9,12.32134,12.20363,12.23329333,19.08359333,16.24887333,19.28127667,activation of MAPKK activity;activation of protein kinase activity;biological adhesion;biological regulation;cell activation;cell adhesion;cell adhesion mediated by integrin;cell differentiation;cell surface receptor linked signaling pathway;cell-cell adhesion;cell-cell adhesion mediated by integrin;cell-matrix adhesion;cell-substrate adhesion;cellular developmental process;cellular macromolecule metabolic process;cellular metabolic process;cellular process;cellular protein metabolic process;cellular response to stimulus;developmental process;enzyme linked receptor protein signaling pathway;epidermal cell differentiation;epithelial cell differentiation;immune system process;integrin-mediated signaling pathway;keratinocyte differentiation;leukocyte activation;macromolecule metabolic process;macromolecule modification;membrane protein ectodomain proteolysis;membrane protein proteolysis;metabolic process;monocyte activation;myeloid leukocyte activation;phosphate-containing compound metabolic process;phosphorus metabolic process;phosphorylation;PMA-inducible membrane protein ectodomain proteolysis;positive regulation of biological process;positive regulation of catabolic process;positive regulation of catalytic activity;positive regulation of cell adhesion;positive regulation of cell adhesion mediated by integrin;positive regulation of cell migration;positive regulation of cell motility;positive regulation of cellular catabolic process;positive regulation of cellular component movement;positive regulation of cellular component organization;positive regulation of cellular metabolic process;positive regulation of cellular process;positive regulation of cellular protein metabolic process;positive regulation of developmental process;positive regulation of keratinocyte migration;positive regulation of kinase activity;positive regulation of locomotion;positive regulation of macromolecule metabolic process;positive regulation of macrophage fusion;positive regulation of membrane protein ectodomain proteolysis;positive regulation of metabolic process;positive regulation of molecular function;positive regulation of protein catabolic process;positive regulation of protein kinase activity;positive regulation of protein metabolic process;positive regulation of protein secretion;positive regulation of protein transport;positive regulation of proteolysis;positive regulation of secretion;positive regulation of syncytium formation by plasma membrane fusion;positive regulation of transferase activity;positive regulation of transport;primary metabolic process;protein metabolic process;protein modification process;protein phosphorylation;proteolysis;regulation of anatomical structure morphogenesis;regulation of biological process;regulation of catabolic process;regulation of catalytic activity;regulation of cell adhesion;regulation of cell adhesion mediated by integrin;regulation of cell migration;regulation of cell motility;regulation of cellular catabolic process;regulation of cellular component movement;regulation of cellular component organization;regulation of cellular localization;regulation of cellular metabolic process;regulation of cellular process;regulation of cellular protein metabolic process;regulation of developmental process;regulation of establishment of protein localization;regulation of keratinocyte migration;regulation of kinase activity;regulation of localization;regulation of locomotion;regulation of macromolecule metabolic process;regulation of macrophage fusion;regulation of membrane protein ectodomain proteolysis;regulation of metabolic process;regulation of molecular function;regulation of phosphate metabolic process;regulation of phosphorus metabolic process;regulation of phosphorylation;regulation of primary metabolic process;regulation of protein catabolic process;regulation of protein kinase activity;regulation of protein localization;regulation of protein metabolic process;regulation of protein modification process;regulation of protein phosphorylation;regulation of protein secretion;regulation of protein transport;regulation of proteolysis;regulation of secretion;regulation of syncytium formation by plasma membrane fusion;regulation of transferase activity;regulation of transport;response to calcium ion;response to chemical stimulus;response to corticosteroid stimulus;response to cytokine stimulus;response to endogenous stimulus;response to glucocorticoid stimulus;response to hormone stimulus;response to hydrogen peroxide;response to inorganic substance;response to manganese ion;response to metal ion;response to organic substance;response to oxidative stress;response to reactive oxygen species;response to steroid hormone stimulus;response to stimulus;response to stress;response to tumor necrosis factor;signal transduction;transforming growth factor beta receptor signaling pathway;transmembrane receptor protein serine/threonine kinase signaling pathway,"binding;catalytic activity;cation binding;collagen binding;endopeptidase activity;enzyme binding;extracellular matrix binding;hydrolase activity;integrin binding;ion binding;kinase binding;laminin binding;metal ion binding;metalloendopeptidase activity;metallopeptidase activity;peptidase activity;peptidase activity, acting on L-amino acid peptides;protein binding;protein complex binding;protein domain specific binding;protein kinase binding;protein kinase C binding;receptor binding;SH3 domain binding;transition metal ion binding;zinc ion binding",cell part;extracellular region part;extracellular space;integral to membrane;intrinsic to external side of plasma membrane;intrinsic to membrane;intrinsic to plasma membrane;membrane part;plasma membrane part
UBA6,10.82733333,10.75846333,10.68584667,24.61446667,21.35645,25.20788333,catabolic process;cellular catabolic process;cellular macromolecule catabolic process;cellular macromolecule metabolic process;cellular metabolic process;cellular process;cellular protein metabolic process;macromolecule catabolic process;macromolecule metabolic process;macromolecule modification;metabolic process;modification-dependent macromolecule catabolic process;modification-dependent protein catabolic process;primary metabolic process;protein metabolic process;protein modification by small protein conjugation;protein modification by small protein conjugation or removal;protein modification process;protein ubiquitination;proteolysis;proteolysis involved in cellular protein catabolic process;ubiquitin-dependent protein catabolic process,adenyl nucleotide binding;adenyl ribonucleotide binding;ATP binding;binding;catalytic activity;FAT10 activating enzyme activity;ligase activity;nucleotide binding;protein binding;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;ribonucleotide binding;small protein activating enzyme activity,cell part;cytoplasm;intracellular part
ESYT2,11.33690667,11.18431667,11.28402667,18.59376,19.15184333,19.01581333,,,cell part;integral to membrane;intrinsic to membrane;membrane;membrane part;plasma membrane
SHTN1,10.84551667,10.82434667,10.63498,26.11269,22.90592667,26.13884333,axon guidance;chemotaxis;locomotion;response to chemical stimulus;response to external stimulus;response to stimulus;taxis,binding;enzyme binding;kinase binding;protein binding,axon;cell part;cell projection;neuron projection
SIL1,9.042438,8.924093333,9.035878333,22.75052,20.59822667,23.09344333,cellular macromolecule metabolic process;cellular metabolic process;cellular process;cellular protein metabolic process;establishment of localization;establishment of localization in cell;establishment of protein localization;intracellular protein transport;intracellular transport;macromolecule metabolic process;metabolic process;primary metabolic process;protein folding;protein metabolic process;protein transport;transport,binding;protein binding;unfolded protein binding,cell part;cytoplasmic part;endoplasmic reticulum lumen;endoplasmic reticulum part;intracellular organelle lumen;intracellular organelle part;intracellular part;membrane-enclosed lumen;organelle lumen;organelle part
ILVBL,8.855236,8.743689667,8.932209667,24.15421667,22.23756667,25.0045,,binding;catalytic activity;cation binding;coenzyme binding;cofactor binding;ion binding;magnesium ion binding;metal ion binding;thiamine pyrophosphate binding;transferase activity;vitamin binding,cell part;integral to membrane;intrinsic to membrane;membrane part
MAP7D1,9.638228,9.616168333,9.841307333,22.71364,19.98593667,22.93311,,,cell part;cytoplasm;cytoskeletal part;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;non-membrane-bounded organelle;organelle;organelle part;spindle
PLEKHG3,8.022649,7.880344667,8.1729,19.64088333,17.41204667,19.94170333,biological regulation;regulation of biological process;regulation of cellular process;regulation of Ras protein signal transduction;regulation of response to stimulus;regulation of Rho protein signal transduction;regulation of signal transduction;regulation of signaling;regulation of small GTPase mediated signal transduction,enzyme regulator activity;GTPase regulator activity;guanyl-nucleotide exchange factor activity;nucleoside-triphosphatase regulator activity;Ras guanyl-nucleotide exchange factor activity;Rho guanyl-nucleotide exchange factor activity;small GTPase regulator activity,cell part;intracellular
